wavelength_nm,R_0deg,T_0deg,R_30deg,T_30deg,R_45deg,T_45deg,R_60deg,T_60deg
838.0,0.671043,0.154803,0.696230,0.141552,0.725359,0.128059,0.769327,0.108964
840.0,0.674764,0.152205,0.699510,0.139272,0.728091,0.126147,0.771274,0.107562
842.0,0.678420,0.149661,0.702732,0.137038,0.730775,0.124272,0.773187,0.106187
844.0,0.682013,0.147170,0.705898,0.134850,0.733414,0.122435,0.775067,0.104836
846.0,0.685542,0.144730,0.709009,0.132706,0.736006,0.120633,0.776915,0.103511
848.0,0.689010,0.142340,0.712066,0.130606,0.738555,0.118866,0.778731,0.102209
850.0,0.692417,0.140000,0.715069,0.128549,0.741059,0.117134,0.780517,0.100931
852.0,0.695765,0.137709,0.718021,0.126533,0.743521,0.115435,0.782272,0.099675
854.0,0.699054,0.135464,0.720921,0.124557,0.745941,0.113769,0.783998,0.098443
856.0,0.702286,0.133265,0.723772,0.122622,0.748320,0.112135,0.785695,0.097232
858.0,0.705462,0.131112,0.726573,0.120725,0.750659,0.110532,0.787364,0.096042
860.0,0.708583,0.129003,0.729326,0.118866,0.752958,0.108960,0.789005,0.094874
862.0,0.711650,0.126937,0.732032,0.117045,0.755219,0.107418,0.790618,0.093726
864.0,0.714663,0.124913,0.734691,0.115259,0.757442,0.105905,0.792206,0.092598
866.0,0.717625,0.122930,0.737306,0.113510,0.759628,0.104421,0.793767,0.091490
868.0,0.720535,0.120987,0.739875,0.111794,0.761778,0.102965,0.795303,0.090401
870.0,0.723395,0.119084,0.742401,0.110113,0.763892,0.101536,0.796814,0.089331
872.0,0.726206,0.117220,0.744884,0.108465,0.765970,0.100135,0.798301,0.088279
874.0,0.728969,0.115393,0.747325,0.106849,0.768015,0.098759,0.799764,0.087245
876.0,0.731684,0.113602,0.749725,0.105265,0.770027,0.097409,0.801203,0.086229
878.0,0.734354,0.111848,0.752085,0.103712,0.772005,0.096084,0.802620,0.085230
880.0,0.736977,0.110129,0.754405,0.102190,0.773951,0.094783,0.804014,0.084247
882.0,0.739556,0.108444,0.756686,0.100697,0.775866,0.093507,0.805386,0.083282
884.0,0.742092,0.106793,0.758930,0.099232,0.777749,0.092254,0.806737,0.082332
886.0,0.744584,0.105175,0.761136,0.097796,0.779603,0.091024,0.808066,0.081398
888.0,0.747035,0.103588,0.763305,0.096388,0.781426,0.089816,0.809375,0.080480
890.0,0.749444,0.102033,0.765439,0.095007,0.783221,0.088630,0.810664,0.079577
892.0,0.751813,0.100509,0.767538,0.093652,0.784987,0.087466,0.811933,0.078689
894.0,0.754142,0.099015,0.769602,0.092323,0.786725,0.086322,0.813182,0.077815
896.0,0.756433,0.097550,0.771632,0.091019,0.788435,0.085200,0.814412,0.076955
898.0,0.758685,0.096113,0.773630,0.089740,0.790118,0.084097,0.815624,0.076109
900.0,0.760900,0.094704,0.775595,0.088485,0.791776,0.083014,0.816817,0.075277
902.0,0.763078,0.093323,0.777528,0.087253,0.793407,0.081950,0.817992,0.074459
904.0,0.765221,0.091969,0.779430,0.086045,0.795012,0.080905,0.819150,0.073653
906.0,0.767329,0.090640,0.781302,0.084859,0.796593,0.079879,0.820290,0.072861
908.0,0.769401,0.089337,0.783143,0.083696,0.798150,0.078870,0.821414,0.072080
910.0,0.771441,0.088060,0.784955,0.082554,0.799682,0.077879,0.822520,0.071312
912.0,0.773447,0.086806,0.786739,0.081433,0.801191,0.076906,0.823611,0.070557
914.0,0.775420,0.085576,0.788494,0.080333,0.802677,0.075949,0.824685,0.069813
916.0,0.777362,0.084370,0.790221,0.079252,0.804141,0.075009,0.825744,0.069080
918.0,0.779272,0.083187,0.791921,0.078192,0.805582,0.074085,0.826788,0.068359
920.0,0.781152,0.082025,0.793595,0.077151,0.807001,0.073177,0.827816,0.067649
922.0,0.783002,0.080886,0.795243,0.076129,0.808399,0.072285,0.828830,0.066950
924.0,0.784822,0.079768,0.796864,0.075125,0.809777,0.071408,0.829828,0.066262
926.0,0.786614,0.078670,0.798461,0.074140,0.811133,0.070545,0.830813,0.065584
928.0,0.788377,0.077594,0.800033,0.073172,0.812470,0.069697,0.831784,0.064917
930.0,0.790112,0.076537,0.801581,0.072222,0.813787,0.068864,0.832741,0.064259
932.0,0.791820,0.075499,0.803106,0.071288,0.815084,0.068044,0.833684,0.063612
934.0,0.793502,0.074481,0.804607,0.070371,0.816362,0.067239,0.834614,0.062974
936.0,0.795157,0.073481,0.806085,0.069470,0.817622,0.066446,0.835532,0.062346
938.0,0.796787,0.072499,0.807541,0.068585,0.818863,0.065667,0.836436,0.061727
940.0,0.798391,0.071536,0.808975,0.067716,0.820086,0.064901,0.837328,0.061117
942.0,0.799971,0.070589,0.810387,0.066862,0.821292,0.064147,0.838207,0.060516
944.0,0.801527,0.069660,0.811778,0.066023,0.822480,0.063405,0.839075,0.059924
946.0,0.803058,0.068748,0.813148,0.065198,0.823651,0.062676,0.839930,0.059340
948.0,0.804567,0.067852,0.814499,0.064388,0.824806,0.061959,0.840774,0.058766
950.0,0.806052,0.066972,0.815829,0.063591,0.825944,0.061253,0.841607,0.058199
952.0,0.807516,0.066107,0.817139,0.062809,0.827066,0.060559,0.842428,0.057641
954.0,0.808957,0.065258,0.818431,0.062039,0.828172,0.059875,0.843238,0.057090
956.0,0.810376,0.064424,0.819703,0.061283,0.829262,0.059203,0.844037,0.056548
958.0,0.811775,0.063604,0.820957,0.060540,0.830338,0.058542,0.844825,0.056013
960.0,0.813152,0.062799,0.822193,0.059809,0.831398,0.057891,0.845603,0.055486
962.0,0.814510,0.062008,0.823411,0.059090,0.832443,0.057250,0.846371,0.054966
964.0,0.815847,0.061231,0.824611,0.058384,0.833475,0.056619,0.847129,0.054453
966.0,0.817164,0.060467,0.825794,0.057689,0.834491,0.055999,0.847876,0.053948
968.0,0.818463,0.059716,0.826960,0.057006,0.835494,0.055388,0.848614,0.053450
970.0,0.819742,0.058978,0.828110,0.056334,0.836484,0.054786,0.849342,0.052959
972.0,0.821003,0.058253,0.829243,0.055674,0.837459,0.054194,0.850061,0.052474
974.0,0.822245,0.057540,0.830361,0.055024,0.838422,0.053611,0.850770,0.051996
976.0,0.823470,0.056840,0.831463,0.054385,0.839371,0.053037,0.851470,0.051525
978.0,0.824677,0.056151,0.832549,0.053756,0.840308,0.052472,0.852162,0.051060
980.0,0.825867,0.055474,0.833620,0.053138,0.841232,0.051915,0.852844,0.050602
982.0,0.827040,0.054808,0.834676,0.052529,0.842144,0.051367,0.853518,0.050150
984.0,0.828196,0.054153,0.835718,0.051931,0.843044,0.050828,0.854183,0.049703
986.0,0.829336,0.053509,0.836746,0.051342,0.843932,0.050296,0.854839,0.049263
988.0,0.830460,0.052876,0.837759,0.050762,0.844808,0.049773,0.855488,0.048829
990.0,0.831568,0.052254,0.838758,0.050192,0.845672,0.049257,0.856128,0.048401
992.0,0.832661,0.051641,0.839744,0.049631,0.846526,0.048749,0.856760,0.047978
994.0,0.833739,0.051039,0.840717,0.049078,0.847368,0.048249,0.857384,0.047561
996.0,0.834802,0.050446,0.841676,0.048535,0.848199,0.047756,0.858001,0.047149
998.0,0.835850,0.049864,0.842622,0.048000,0.849019,0.047270,0.858609,0.046743
1000.0,0.836884,0.049290,0.843556,0.047473,0.849829,0.046791,0.859211,0.046342
1002.0,0.837903,0.048726,0.844478,0.046955,0.850629,0.046320,0.859805,0.045946
1004.0,0.838909,0.048171,0.845387,0.046444,0.851418,0.045855,0.860391,0.045555
