wavelength_nm,R_0deg,T_0deg,R_30deg,T_30deg,R_45deg,T_45deg,R_60deg,T_60deg
864.0,0.999900,0.000100,0.999979,0.000021,0.999176,0.000824,0.995504,0.004496
866.0,0.999912,0.000088,0.999979,0.000021,0.999126,0.000874,0.995218,0.004782
868.0,0.999925,0.000075,0.999978,0.000022,0.999070,0.000930,0.994791,0.005209
870.0,0.999937,0.000063,0.999977,0.000023,0.998998,0.001002,0.994192,0.005808
872.0,0.999949,0.000051,0.999976,0.000024,0.998901,0.001099,0.993383,0.006617
874.0,0.999958,0.000042,0.999974,0.000026,0.998767,0.001233,0.992326,0.007674
876.0,0.999966,0.000034,0.999972,0.000028,0.998581,0.001419,0.990997,0.009003
878.0,0.999972,0.000028,0.999969,0.000031,0.998321,0.001679,0.989436,0.010564
880.0,0.999977,0.000023,0.999965,0.000035,0.997960,0.002040,0.987808,0.012192
882.0,0.999981,0.000019,0.999960,0.000040,0.997469,0.002531,0.986453,0.013547
884.0,0.999983,0.000017,0.999954,0.000046,0.996841,0.003159,0.985790,0.014210
886.0,0.999986,0.000014,0.999947,0.000053,0.996139,0.003861,0.986045,0.013955
888.0,0.999987,0.000013,0.999940,0.000060,0.995554,0.004446,0.987071,0.012929
890.0,0.999988,0.000012,0.999933,0.000067,0.995338,0.004662,0.988483,0.011517
892.0,0.999989,0.000011,0.999926,0.000074,0.995570,0.004430,0.989932,0.010068
894.0,0.999990,0.000010,0.999921,0.000079,0.996073,0.003927,0.991222,0.008778
896.0,0.999990,0.000010,0.999918,0.000082,0.996616,0.003384,0.992289,0.007711
898.0,0.999991,0.000009,0.999917,0.000083,0.997075,0.002925,0.993139,0.006861
900.0,0.999991,0.000009,0.999918,0.000082,0.997417,0.002583,0.993803,0.006197
902.0,0.999991,0.000009,0.999920,0.000080,0.997649,0.002351,0.994317,0.005683
904.0,0.999990,0.000010,0.999922,0.000078,0.997784,0.002216,0.994714,0.005286
906.0,0.999990,0.000010,0.999923,0.000077,0.997835,0.002165,0.995023,0.004977
908.0,0.999989,0.000011,0.999923,0.000077,0.997808,0.002192,0.995266,0.004734
910.0,0.999988,0.000012,0.999923,0.000077,0.997701,0.002299,0.995464,0.004536
912.0,0.999987,0.000013,0.999921,0.000079,0.997511,0.002489,0.995635,0.004365
914.0,0.999986,0.000014,0.999917,0.000083,0.997231,0.002769,0.995792,0.004208
916.0,0.999984,0.000016,0.999911,0.000089,0.996872,0.003128,0.995947,0.004053
918.0,0.999982,0.000018,0.999902,0.000098,0.996485,0.003515,0.996109,0.003891
920.0,0.999979,0.000021,0.999890,0.000110,0.996195,0.003805,0.996282,0.003718
922.0,0.999976,0.000024,0.999873,0.000127,0.996176,0.003824,0.996466,0.003534
924.0,0.999973,0.000027,0.999849,0.000151,0.996506,0.003494,0.996658,0.003342
926.0,0.999971,0.000029,0.999815,0.000185,0.997068,0.002932,0.996852,0.003148
928.0,0.999970,0.000030,0.999766,0.000234,0.997664,0.002336,0.997044,0.002956
930.0,0.999969,0.000031,0.999693,0.000307,0.998172,0.001828,0.997226,0.002774
932.0,0.999970,0.000030,0.999583,0.000417,0.998560,0.001440,0.997395,0.002605
934.0,0.999971,0.000029,0.999410,0.000590,0.998846,0.001154,0.997545,0.002455
936.0,0.999973,0.000027,0.999133,0.000867,0.999056,0.000944,0.997677,0.002323
938.0,0.999975,0.000025,0.998695,0.001305,0.999210,0.000790,0.997787,0.002213
940.0,0.999976,0.000024,0.998039,0.001961,0.999322,0.000678,0.997877,0.002123
942.0,0.999978,0.000022,0.997219,0.002781,0.999404,0.000596,0.997945,0.002055
944.0,0.999979,0.000021,0.996503,0.003497,0.999464,0.000536,0.997993,0.002007
946.0,0.999979,0.000021,0.996175,0.003825,0.999508,0.000492,0.998019,0.001981
948.0,0.999980,0.000020,0.996179,0.003821,0.999539,0.000461,0.998025,0.001975
950.0,0.999979,0.000021,0.996289,0.003711,0.999560,0.000440,0.998008,0.001992
952.0,0.999979,0.000021,0.996371,0.003629,0.999573,0.000427,0.997968,0.002032
954.0,0.999978,0.000022,0.996432,0.003568,0.999579,0.000421,0.997903,0.002097
956.0,0.999977,0.000023,0.996586,0.003414,0.999579,0.000421,0.997809,0.002191
958.0,0.999975,0.000025,0.996978,0.003022,0.999573,0.000427,0.997681,0.002319
960.0,0.999972,0.000028,0.997598,0.002402,0.999563,0.000437,0.997514,0.002486
962.0,0.999968,0.000032,0.998248,0.001752,0.999549,0.000451,0.997299,0.002701
964.0,0.999963,0.000037,0.998766,0.001234,0.999532,0.000468,0.997024,0.002976
966.0,0.999957,0.000043,0.999143,0.000857,0.999514,0.000486,0.996674,0.003326
968.0,0.999947,0.000053,0.999411,0.000589,0.999496,0.000504,0.996227,0.003773
970.0,0.999934,0.000066,0.999590,0.000410,0.999480,0.000520,0.995656,0.004344
972.0,0.999915,0.000085,0.999705,0.000295,0.999471,0.000529,0.994921,0.005079
974.0,0.999887,0.000113,0.999780,0.000220,0.999469,0.000531,0.993972,0.006028
976.0,0.999843,0.000157,0.999830,0.000170,0.999476,0.000524,0.992744,0.007256
978.0,0.999775,0.000225,0.999865,0.000135,0.999492,0.000508,0.991163,0.008837
980.0,0.999662,0.000338,0.999889,0.000111,0.999515,0.000485,0.989155,0.010845
982.0,0.999466,0.000534,0.999907,0.000093,0.999543,0.000457,0.986690,0.013310
984.0,0.999112,0.000888,0.999920,0.000080,0.999573,0.000427,0.983856,0.016144
986.0,0.998453,0.001547,0.999930,0.000070,0.999603,0.000397,0.980958,0.019042
988.0,0.997229,0.002771,0.999938,0.000062,0.999631,0.000369,0.978543,0.021457
990.0,0.995153,0.004847,0.999943,0.000057,0.999657,0.000343,0.977203,0.022797
992.0,0.992491,0.007509,0.999947,0.000053,0.999679,0.000321,0.977206,0.022794
994.0,0.990838,0.009162,0.999951,0.000049,0.999698,0.000302,0.978329,0.021671
996.0,0.991812,0.008188,0.999953,0.000047,0.999714,0.000286,0.980073,0.019927
998.0,0.994470,0.005530,0.999954,0.000046,0.999726,0.000274,0.981974,0.018026
1000.0,0.996812,0.003188,0.999955,0.000045,0.999735,0.000265,0.983746,0.016254
1002.0,0.998234,0.001766,0.999955,0.000045,0.999742,0.000258,0.985267,0.014733
1004.0,0.998998,0.001002,0.999954,0.000046,0.999745,0.000255,0.986507,0.013493
